indicatorId,indicatorName,formula,numeratorText,denominatorText,currentNumeratorCandidateIds,observedNumeratorElementIds,observedNumeratorOccurrenceIds,currentDenominatorCandidateIds,observedDenominatorElementIds,observedDenominatorOccurrenceIds,externalDenominatorRequired,computabilityAssessment,lowestPotentialGeography,decision,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,displayDefinition
"IND-HMIS-IND-043","Operation major (General and spinal anaesthesia) as %of OPD","(Numerator ÷ denominator) × 100","Operation major (General and spinal anaesthesia)","Total OPD","HMIS-DE-0678","HMIS-DE-0678","HMIS-RPTCOL-STATE-0377","HMIS-DE-0659; HMIS-DE-0660; HMIS-DE-0626","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Percentage of major operations conducted against total OPD attendance. Denominator population: Total OPD."
"IND-HMIS-IND-044","Operation minor (No or local anaesthesia) as % of OPD","(Numerator ÷ denominator) × 100","Operation minor (No or local anaesthesia)","Total OPD","HMIS-DE-0233","HMIS-DE-0233","HMIS-RPTCOL-STATE-0381","HMIS-DE-0659; HMIS-DE-0660; HMIS-DE-0626","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Percentage of minor operations conducted against total OPD attendance. Denominator population: Total OPD."
"IND-HMIS-IND-045","Dental utilization ratio","(Numerator ÷ denominator) × 100","Dental Procedures","Total OPD","HMIS-DE-0109","","","HMIS-DE-0659; HMIS-DE-0660; HMIS-DE-0626","","","false","Not supported by currently linked observed fields","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total OPD","Dental Procedures as % of OPD. Denominator population: Total OPD."
"IND-HMIS-IND-046","Bed occupancy rate","(Numerator ÷ denominator) × 100","Sum of inpatient head count at midnight","Total Bed days available (total number of days for which indicator is calculated x total number of beds)","HMIS-DE-0152","HMIS-DE-0152","HMIS-RPTCOL-STATE-0383","HMIS-DE-0453","HMIS-DE-0453","HMIS-RPTCOL-STATE-0164","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total Bed days available (total number of days for which indicator is calculated x total number of beds)","Percentage of bed occupancy against total beds available in a facility in a given time period. Denominator population: Total Bed days available (total number of days for which indicator is calculated x total number of beds)."
"IND-HMIS-IND-047","HIV positive as % of HIV tested","(Numerator ÷ denominator) × 100","Total number of patients who were found HIV+ve after test","Total HIV test conducted","HMIS-DE-0556","HMIS-DE-0556","HMIS-RPTCOL-STATE-0449","HMIS-DE-0623; HMIS-DE-0621; HMIS-DE-0695","","","false","Partially supported by observed schema","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total HIV test conducted","Proportion of HIV +ve cases(all)out of total tested for HIV. Denominator population: Total HIV test conducted."
"IND-HMIS-IND-048","Proportion of antenatal women tested for HIV","(Numerator ÷ denominator) × 100","ANC tested for HIV","Total ANC Registration","HMIS-DE-0558","HMIS-DE-0558","HMIS-RPTCOL-STATE-0457","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-DE-0681; HMIS-DE-0624; HMIS-DE-0573","HMIS-RPTCOL-STATE-0036; HMIS-RPTCOL-STATE-0042; HMIS-RPTCOL-STATE-0041","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total ANC Registration","Proportion of pregnant women who were tested for HIV . Denominator population: Total ANC Registration."
"IND-HMIS-IND-049","HIV prevalence among antenatal (ANC) tested","(Numerator ÷ denominator) × 100","Antenatal women tested and found HIV positive","Antenatal women tested for HIV","HMIS-DE-0549","HMIS-DE-0549","HMIS-RPTCOL-STATE-0463","HMIS-DE-0550","HMIS-DE-0550","HMIS-RPTCOL-STATE-0461","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Antenatal women tested for HIV","Proportion of ANC who were found to be HIV +ve after test. Denominator population: Antenatal women tested for HIV."
"IND-HMIS-IND-050","HIV prevalence among non ANC tested (excluding ANC women)","(Numerator ÷ denominator) × 100","HIV test positive (excluding antenatal)","HIV tested (excluding antenatal)","HMIS-DE-0225","HMIS-DE-0225","HMIS-RPTCOL-STATE-0266","HMIS-DE-0652","HMIS-DE-0652","HMIS-RPTCOL-STATE-0427","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","HIV tested (excluding antenatal)","Proportion of non- ANC who were found to be HIV +ve after test. Denominator population: HIV tested (excluding antenatal)."
"IND-HMIS-IND-051","HIV prevalence amongmales tested","(Numerator ÷ denominator) × 100","HIV test positive (males)","No. of males tested for HIV","HMIS-DE-0555; HMIS-DE-0263","HMIS-DE-0555; HMIS-DE-0263","HMIS-RPTCOL-STATE-0451; HMIS-RPTCOL-STATE-0450","HMIS-DE-0556","HMIS-DE-0556","HMIS-RPTCOL-STATE-0449","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","No. of males tested for HIV","Proportion of HIV+ cases among total number of males tested. Denominator population: No. of males tested for HIV."
"IND-HMIS-IND-052","Annual parasite incidence","(Numerator ÷ denominator) × 1000","Total no. of blood smears +ve for Malarial Parasite in a year","Total population","HMIS-DE-0625","HMIS-DE-0625","HMIS-RPTCOL-STATE-0259","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Total population","Confirmed cases during 1 year/populatio n under surveillance) x 1000. Denominator population: Total population."
"IND-HMIS-IND-053","Annual Blood Examination rate (ABER)","(Numerator ÷ denominator) × 100","No. of blood smears examined for Malarial Parasite in a year","Total population","HMIS-DE-0625","HMIS-DE-0625","HMIS-RPTCOL-STATE-0259","","","","true","Numerator observed; external denominator required","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Percentage/proportion","%","(numerator ÷ denominator) × 100","Total population","Number of slides examined. Denominator population: Total population."
"IND-HMIS-IND-054","Diarrhoea incidence under 5 years (per 1,000)","(Numerator ÷ denominator) × 1000","The number of children with diarrhea under 5years","Total children under 5 years","HMIS-DE-0085","HMIS-DE-0085","HMIS-RPTCOL-STATE-0258","HMIS-DE-0092; HMIS-DE-0091; HMIS-DE-0284","HMIS-DE-0091; HMIS-DE-0284","HMIS-RPTCOL-STATE-0229; HMIS-RPTCOL-STATE-0138","false","Potentially computable from observed schema; crosswalk validation pending","Facility where numerator and denominator are valid at facility level; otherwise aggregate level defined by denominator","Do not alter formula or claim computability until candidate crosswalks and denominator provenance are reviewed","Rate per population","per 1,000","(Numerator ÷ denominator) × 1000","Total children under 5 years","The number of children under 5 years with diarrhoea per 1,000 population under 5 years per year. Denominator population: Total children under 5 years."
